Variable,All,YM,YW,OM,OW,p(joint),p(YMvYW),p(YMvOM),p(YMvOW),p(YWvOM),p(YWvOW),p(OMvOW)
Continuous / ordinal covariates,,,,,,,,,,,,
Age (years),42.63 (10.27),42.48 (9.92),42.81 (10.77),42.27 (10.67),42.96 (9.80),0.88,0.735,0.825,0.592,0.591,0.88,0.455
Number of children,1.32 (1.32),1.30 (1.34),1.32 (1.34),1.41 (1.29),1.26 (1.31),0.654,0.877,0.38,0.726,0.492,0.62,0.209
Education level (0–5),2.83 (1.30),2.76 (1.24),2.76 (1.32),2.88 (1.29),2.91 (1.35),0.499,0.996,0.319,0.226,0.346,0.252,0.814
Household income bracket (0–13),6.88 (3.68),7.06 (3.70),6.66 (3.75),6.99 (3.66),6.80 (3.65),0.65,0.256,0.821,0.43,0.352,0.691,0.57
Own life satisfaction (1–11),6.69 (2.33),6.79 (2.38),6.74 (2.30),6.53 (2.33),6.69 (2.34),0.649,0.824,0.229,0.651,0.339,0.827,0.445
"General health (1=poor,7=excellent)",4.93 (1.25),5.00 (1.19),5.00 (1.14),4.84 (1.36),4.90 (1.28),0.415,0.97,0.163,0.351,0.178,0.375,0.629
"Freedom from bodily pain (1=severe,7=none)",4.26 (1.79),4.29 (1.83),4.30 (1.73),4.38 (1.77),4.09 (1.80),0.331,0.939,0.605,0.227,0.662,0.2,0.078
Binary covariates,,,,,,,,,,,,
Female,0.567,0.610,0.564,0.540,0.556,0.448,0.323,0.12,0.226,0.612,0.864,0.726
Married,0.448,0.444,0.357,0.522,0.454,0.006,0.06,0.084,0.827,0.0,0.035,0.128
Has 2+ children,0.436,0.425,0.443,0.466,0.411,0.648,0.704,0.369,0.759,0.628,0.497,0.224
Completed undergraduate or higher,0.595,0.616,0.550,0.615,0.593,0.449,0.157,0.988,0.613,0.157,0.348,0.62
Non-white,0.294,0.279,0.317,0.256,0.328,0.277,0.381,0.567,0.243,0.153,0.81,0.08
Race/ethnicity (proportions),,,,,,,,,,,,
  White/Caucasian,0.706,0.721,0.683,0.744,0.672,0.277,0.381,0.567,0.243,0.153,0.81,0.08
  Asian,0.052,0.054,0.058,0.045,0.053,0.935,0.872,0.632,0.94,0.535,0.815,0.684
  Black/African,0.128,0.117,0.159,0.077,0.162,0.016,0.201,0.143,0.149,0.008,0.924,0.004
  Hispanic/Latinx,0.067,0.067,0.048,0.085,0.065,0.469,0.397,0.437,0.933,0.109,0.44,0.387
  Other race,0.048,0.042,0.053,0.049,0.049,0.956,0.579,0.706,0.714,0.843,0.836,0.992
Political affiliation (proportions),,,,,,,,,,,,
  Democrat,0.409,0.388,0.351,0.455,0.434,0.103,0.425,0.131,0.295,0.024,0.07,0.643
  Republican,0.257,0.267,0.284,0.228,0.254,0.571,0.689,0.32,0.753,0.175,0.482,0.495
  Independent,0.284,0.283,0.312,0.276,0.266,0.736,0.502,0.866,0.677,0.403,0.283,0.803
  No affiliation,0.050,0.062,0.053,0.041,0.045,0.707,0.663,0.278,0.397,0.542,0.703,0.809
Marital status (proportions),,,,,,,,,,,,
  Single,0.326,0.369,0.367,0.259,0.317,0.033,0.954,0.009,0.226,0.014,0.268,0.153
  Married (marital),0.448,0.444,0.357,0.522,0.454,0.006,0.06,0.084,0.827,0.0,0.035,0.128
  Cohabiting,0.101,0.075,0.143,0.101,0.092,0.108,0.022,0.302,0.48,0.179,0.097,0.74
  Divorced/sep./widowed,0.125,0.112,0.133,0.117,0.137,0.817,0.494,0.853,0.412,0.61,0.92,0.523
N (subjects),950,241,211,248,250,,,,,,,
