Variable,Gender:0,Gender:1,Gender diff,Gender p,Gender normdiff,Age:0,Age:1,Age diff,Age p,Age normdiff
Continuous / ordinal covariates,,,,,,,,,,
Age (years),42.38,42.89,0.518,0.438,0.05,42.64,42.62,-0.018,0.978,-0.002
Number of children,1.36,1.29,-0.067,0.436,-0.051,1.31,1.34,0.022,0.798,0.017
Education level (0–5),2.82,2.84,0.018,0.833,0.014,2.76,2.89,0.129,0.128,0.099
Household income bracket (0–13),7.03,6.73,-0.291,0.231,-0.079,6.87,6.89,0.018,0.942,0.005
Own life satisfaction (1–11),6.66,6.71,0.055,0.716,0.024,6.77,6.61,-0.153,0.313,-0.066
"General health (1=poor,7=excellent)",4.92,4.95,0.023,0.772,0.019,5.0,4.87,-0.131,0.105,-0.105
"Freedom from bodily pain (1=severe,7=none)",4.33,4.19,-0.145,0.212,-0.081,4.3,4.23,-0.064,0.584,-0.036
Binary covariates,,,,,,,,,,
Female,0.575,0.56,-0.015,0.642,-0.03,0.588,0.548,-0.04,0.211,-0.081
Married,0.484,0.41,-0.074,0.022,-0.149,0.404,0.488,0.084,0.009,0.17
Has 2+ children,0.446,0.426,-0.02,0.54,-0.04,0.433,0.438,0.005,0.876,0.01
Completed undergraduate or higher,0.616,0.573,-0.042,0.186,-0.086,0.585,0.604,0.02,0.541,0.04
Non-white,0.267,0.323,0.056,0.062,0.122,0.297,0.292,-0.005,0.872,-0.01
Race/ethnicity,,,,,,,,,,
  White/Caucasian,0.733,0.677,-0.056,0.062,-0.122,0.703,0.708,0.005,0.872,0.01
  Asian,0.049,0.055,0.006,0.702,0.025,0.056,0.049,-0.007,0.625,-0.032
  Black/African,0.097,0.16,0.064,0.004,0.191,0.136,0.12,-0.016,0.451,-0.049
  Hispanic/Latinx,0.076,0.057,-0.019,0.243,-0.076,0.058,0.075,0.017,0.295,0.068
  Other race,0.045,0.051,0.005,0.705,0.025,0.047,0.049,0.002,0.897,0.008
Political affiliation,,,,,,,,,,
  Democrat,0.422,0.396,-0.026,0.423,-0.052,0.371,0.445,0.074,0.021,0.152
  Republican,0.247,0.268,0.021,0.468,0.048,0.275,0.241,-0.034,0.239,-0.077
  Independent,0.28,0.288,0.008,0.792,0.017,0.297,0.271,-0.025,0.389,-0.056
  No affiliation,0.051,0.049,-0.003,0.846,-0.013,0.058,0.043,-0.015,0.291,-0.069
Marital status,,,,,,,,,,
  Single,0.314,0.34,0.026,0.388,0.056,0.368,0.288,-0.08,0.009,-0.17
  Married (marital),0.484,0.41,-0.074,0.022,-0.149,0.404,0.488,0.084,0.009,0.17
  Cohabiting,0.088,0.115,0.027,0.165,0.09,0.106,0.097,-0.01,0.624,-0.032
  Divorced/sep./widowed,0.115,0.135,0.02,0.346,0.061,0.122,0.127,0.005,0.814,0.015
N (subjects),489.0,461.0,,,,452.0,498.0,,,
